"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Multiracial","Female","All transmission categories","1","2.5","39,426"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Multiracial","Male","All transmission categories","10","26.5","37,747"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","White","Female","All transmission categories","25","1.5","1,636,064"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","White","Male","All transmission categories","89","5.7","1,562,286"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","75.2","1,330"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","83.5","1,197"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Hispanic/Latino","Female","All transmission categories","2","2.0","102,258"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Hispanic/Latino","Male","All transmission categories","6","5.2","114,933"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Black/African American","Female","All transmission categories","71","10.2","693,658"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Black/African American","Male","All transmission categories","236","39.3","600,677"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Asian","Female","All transmission categories","0","0.0","37,738"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","Asian","Male","All transmission categories","0","0.0","32,954"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","13,887"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","13,526"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","All age groups","Multiracial","Female","All transmission categories","1","4.1","24,295"
